address,phone,email,website
1030 Wien--Schwarzenbergplatz 6,Yes,Yes,Yes
1010 Wien--Maria-Theresien-Straße 32-34/10,No,Yes,No
8970 Schladming--Ritter-von-Gersdorff-Straße 619,Yes,Yes,No
6410 Telfs--Bahnhofstraße 7,Yes,Yes,Yes
4813 Altmünster--Marktstraße 1,Yes,Yes,No
1010 Wien--Mölker Bastei 5,Yes,Yes,Yes
1010 Wien--Schwarzenbergplatz 16,Yes,Yes,Yes
1010 Wien--Fleischmarkt 1/3. Stock,Yes,Yes,Yes
5020 Salzburg--Schwarzstraße 21,Yes,Yes,Yes
4950 Altheim--Stadtplatz 12,Yes,Yes,No
4020 Linz--Lüfteneggerstraße 12,Yes,No,Yes
1080 Wien--Lederergasse 16/3,Yes,Yes,No
8330 Feldbach--Bürgergasse 22/2,Yes,Yes,Yes
1010 Wien--Dr. Karl Lueger-Platz 5,Yes,Yes,Yes
9020 Klagenfurt--Bahnhofstraße 5,Yes,Yes,Yes
1010 Wien--Schmerlingplatz 3/III,Yes,Yes,No
1010 Wien--Schmerlingplatz 3,Yes,Yes,No
5020 Salzburg--Dr.-Franz-Rehrl-Platz 7,Yes,Yes,Yes
4560 Kirchdorf/Krems--Hauptplatz 7,Yes,Yes,No
3340 Waidhofen/Ybbs--Unterer Stadtplatz 14,Yes,Yes,Yes
1030 Wien--Weyrgasse 8,Yes,Yes,No
1070 Wien--Stiftgasse 21/20,Yes,Yes,Yes
1040 Wien--Gußhausstraße 10/26,Yes,Yes,No
2130 Mistelbach--Hauptplatz 1,Yes,Yes,No
3390 Melk--Bahnhofplatz 4,Yes,Yes,Yes
6800 Feldkirch--Saalbaugasse 2,Yes,Yes,No
8010 Graz--Kalchberggasse 1,Yes,Yes,Yes
5020 Salzburg--Markus-Sittikus-Straße 5,Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,Yes
4020 Linz--Landstraße 9,Yes,Yes,Yes
1010 Wien--Dominikanerbastei 10,Yes,Yes,Yes
1010 Wien--Graben 12/6,Yes,Yes,No
1010 Wien--Elisabethstraße 15,Yes,Yes,Yes
6330 Kufstein--Georg-Pirmoser-Straße 15,Yes,Yes,Yes
1010 Wien--Teinfaltstraße 8/5.01 (DG),Yes,Yes,Yes
6850 Dornbirn--Marktplatz 9,Yes,Yes,No
1010 Wien--Stubenring 14/4,Yes,Yes,No
1010 Wien--Rauhensteingasse 1,Yes,Yes,No
1010 Wien--Parkring 2,Yes,Yes,No
1010 Wien--Jasomirgottstraße 6,Yes,Yes,No
1010 Wien--Jasomirgottstraße 6/Top 7,Yes,Yes,Yes
1010 Wien--Wollzeile 6-8,Yes,Yes,Yes
4910 Ried/Innkreis--Claudistraße 5,Yes,Yes,Yes
9500 Villach--Postgasse 8/1,Yes,Yes,No
1210 Wien--Ignaz Köck Straße 10,Yes,Yes,Yes
1010 Wien--Schubertring 6,Yes,Yes,No
1010 Wien--Weihburggasse 26/4,No,Yes,Yes
